student_id,first_name,last_name,email,school_email,gender,dob,class_year,grad_year,ethnicity,cd_major,cd_minor,campus_phone,cell_phone,student_photo,active_flag,create_date,last_update_date,updated_by_user_id,optimistic_lock,locked_by_user_id
1001,Riannon,Blinco,rblinco0@example.net,Blinco1001@kuromaku-u.org,F,7/31/08,2030,2030,WHT,ENG,UND,970-111-5000,203-555-0138,1001.png,t,3/27/20,3/27/20,,,
1002,Pepillo,Menichillo,pmenichillo1@example.com,Menichillo1002@kuromaku-u.org,M,9/24/06,2029,2029,AFR,MAT,UND,970-111-5001,269-555-0157,1002.png,t,3/27/20,3/27/20,,,
1003,Alexander,McCuthais,amccuthais2@example.com,McCuthais1003@kuromaku-u.org,M,3/30/06,2028,2028,AFR,AER,UND,970-111-5002,512-555-0144,1003.png,t,3/27/20,3/27/20,,,
1004,Paolina,Balchen,pbalchen3@example.org,Balchen1004@kuromaku-u.org,F,5/14/08,2030,2030,WHT,MAT,UND,970-111-5003,812-555-0154,1004.png,t,3/27/20,3/27/20,,,
1005,Rosalind,Cadagan,rcadagan4@example.com,Cadagan1005@kuromaku-u.org,F,4/23/07,2029,2029,ASN,ENG,UND,970-111-5004,806-555-0131,1005.png,t,3/27/20,3/27/20,,,
1006,Brennan,Linklater,blinklater5@example.com,Linklater1006@kuromaku-u.org,M,11/26/06,2029,2029,HSP,ENG,MAN,970-111-5005,928-555-0199,1006.png,t,3/27/20,3/27/20,,,
1007,Bobbye,Doumenc,bdoumenc6@example.net,Doumenc1007@kuromaku-u.org,F,8/8/05,2027,2027,ASN,ENG,UND,970-111-5006,713-555-0180,1007.png,t,3/27/20,3/27/20,,,
1008,Henrieta,Kirtland,hkirtland7@example.com,Kirtland1008@kuromaku-u.org,F,9/30/07,2030,2030,AFR,NUC,UND,970-111-5007,210-555-0192,1008.png,t,3/27/20,3/27/20,,,
1009,Bartholomew,Daber,bdaber8@example.com,Daber1009@kuromaku-u.org,M,12/3/05,2028,2028,AFR,NUC,CIV,970-111-5008,317-555-0172,1009.png,t,3/27/20,3/27/20,,,
1010,Bryon,Burchall,bburchall9@example.com,Burchall1010@kuromaku-u.org,M,1/28/07,2029,2029,WHT,CHE,UND,970-111-5009,704-555-0126,1010.png,t,3/27/20,3/27/20,,,
1011,Bernadette,Froome,bfroomea@example.com,Froome1011@kuromaku-u.org,F,5/24/08,2030,2030,AFR,MAN,UND,970-111-5010,574-555-0193,1011.png,t,3/27/20,3/27/20,,,
1012,Sinclare,Sucre,ssucreb@example.net,Sucre1012@kuromaku-u.org,M,3/4/08,2030,2030,ASN,MEC,NUC,970-111-5011,937-555-0164,1012.png,t,3/27/20,3/27/20,,,
1013,Mady,Borthram,mborthramc@example.com,Borthram1013@kuromaku-u.org,F,1/25/08,2030,2030,AFR,MAT,UND,970-111-5012,702-555-0177,1013.png,t,3/27/20,3/27/20,,,
1014,Manfred,Durrett,mdurrettd@example.org,Durrett1014@kuromaku-u.org,M,12/16/04,2027,2027,AFR,MAN,UND,970-111-5013,803-555-0126,1014.png,t,3/27/20,3/27/20,,,
1015,Any,Staining,astaininge@example.com,Staining1015@kuromaku-u.org,M,11/19/04,2027,2027,HSP,NUC,UND,970-111-5014,203-555-0177,1015.png,t,3/27/20,3/27/20,,,
1016,Stearn,Enderwick,senderwickf@example.org,Enderwick1016@kuromaku-u.org,M,6/8/06,2028,2028,ASN,AER,UND,970-111-5015,405-555-0195,1016.png,t,3/27/20,3/27/20,,,
1017,Rafa,Jaimez,rjaimezg@example.com,Jaimez1017@kuromaku-u.org,F,5/14/06,2028,2028,AFR,COM,UND,970-111-5016,512-555-0184,1017.png,t,3/27/20,3/27/20,,,
1018,Oates,Harrismith,oharrismithh@example.org,Harrismith1018@kuromaku-u.org,M,9/3/06,2029,2029,HSP,MAN,UND,970-111-5017,212-555-0194,1018.png,t,3/27/20,3/27/20,,,
1019,Ludwig,Fairbrass,lfairbrassi@example.net,Fairbrass1019@kuromaku-u.org,M,7/12/06,2028,2028,ASN,MAT,UND,970-111-5018,305-555-0187,1019.png,t,3/27/20,3/27/20,,,
1020,Luci,Andrzejczak,landrzejczakj@example.org,Andrzejczak1020@kuromaku-u.org,F,4/22/07,2029,2029,AFR,COM,AER,970-111-5019,512-555-0137,1020.png,t,3/27/20,3/27/20,,,
1021,Jacki,Heintze,jheintzek@example.com,Heintze1021@kuromaku-u.org,F,3/9/06,2028,2028,WHT,CHE,UND,970-111-5020,301-555-0160,1021.png,t,3/27/20,3/27/20,,,
1022,Celestia,Aukland,cauklandl@example.com,Aukland1022@kuromaku-u.org,F,3/22/06,2028,2028,ASN,MAN,UND,970-111-5021,408-555-0169,1022.png,t,3/27/20,3/27/20,,,
1023,Angy,Cady,acadym@example.org,Cady1023@kuromaku-u.org,F,3/1/06,2028,2028,ASN,CIV,MEC,970-111-5022,646-555-0162,1023.png,t,3/27/20,3/27/20,,,
1024,Hube,Lillee,hlilleen@example.com,Lillee1024@kuromaku-u.org,M,8/18/07,2029,2029,AFR,COM,UND,970-111-5023,407-555-0112,1024.png,t,3/27/20,3/27/20,,,
1025,Osbourne,Zellmer,ozellmero@example.com,Zellmer1025@kuromaku-u.org,M,3/29/08,2030,2030,WHT,CHE,UND,970-111-5024,904-555-0125,1025.png,t,3/27/20,3/27/20,,,
1026,Georges,Hurton,ghurtonp@example.org,Hurton1026@kuromaku-u.org,M,7/16/06,2028,2028,ASN,COM,UND,970-111-5025,646-555-0190,1026.png,t,3/27/20,3/27/20,,,
1027,Karry,Simonsson,ksimonssonq@example.net,Simonsson1027@kuromaku-u.org,F,2/28/08,2030,2030,HSP,ENG,UND,970-111-5026,508-555-0144,1027.png,t,3/27/20,3/27/20,,,
1028,Maurie,Livingston,mlivingstonr@example.com,Livingston1028@kuromaku-u.org,M,6/8/05,2027,2027,WHT,ENG,UND,970-111-5027,901-555-0185,1028.png,t,3/27/20,3/27/20,,,
1029,Heath,Bracegirdle,hbracegirdles@example.org,Bracegirdle1029@kuromaku-u.org,F,12/24/07,2030,2030,WHT,MEC,UND,970-111-5028,714-555-0195,1029.png,t,3/27/20,3/27/20,,,
1030,Eric,Goodrick,egoodrickt@example.net,Goodrick1030@kuromaku-u.org,M,3/25/05,2027,2027,WHT,ENG,UND,970-111-5029,410-555-0113,1030.png,t,3/27/20,3/27/20,,,
1031,Sandye,Station,sstationu@example.org,Station1031@kuromaku-u.org,F,9/29/07,2030,2030,ASN,AER,UND,970-111-5030,303-555-0144,1031.png,t,3/27/20,3/27/20,,,
1032,Rachelle,Hathaway,rhathawayv@example.com,Hathaway1032@kuromaku-u.org,F,6/22/07,2029,2029,ASN,COM,UND,970-111-5031,912-555-0110,1032.png,t,3/27/20,3/27/20,,,
1033,Gilli,Tedstone,gtedstonew@example.org,Tedstone1033@kuromaku-u.org,F,9/27/07,2030,2030,WHT,CHE,UND,970-111-5032,603-555-0163,1033.png,t,3/27/20,3/27/20,,,
1034,Tomas,Hughland,thughlandx@example.org,Hughland1034@kuromaku-u.org,M,8/27/08,2030,2030,WHT,MAT,UND,970-111-5033,706-555-0176,1034.png,t,3/27/20,3/27/20,,,
1035,Sander,Southers,ssouthersy@example.net,Southers1035@kuromaku-u.org,M,7/8/05,2027,2027,ASN,MAN,UND,970-111-5034,309-555-0194,1035.png,t,3/27/20,3/27/20,,,
1036,Welch,Chataignier,wchataignierz@example.com,Chataignier1036@kuromaku-u.org,M,10/20/04,2027,2027,HSP,MAN,UND,970-111-5035,406-555-0189,1036.png,t,3/27/20,3/27/20,,,
1037,Marjie,Hudd,mhudd10@example.com,Hudd1037@kuromaku-u.org,F,6/5/05,2027,2027,HSP,AER,MAN,970-111-5036,314-555-0118,1037.png,t,3/27/20,3/27/20,,,
1038,Tristam,Corrao,tcorrao11@example.com,Corrao1038@kuromaku-u.org,M,3/13/07,2029,2029,ASN,NUC,UND,970-111-5037,770-555-0119,1038.png,t,3/27/20,3/27/20,,,
1039,Alphonse,Aloshkin,aaloshkin12@example.com,Aloshkin1039@kuromaku-u.org,M,7/8/08,2030,2030,AFR,MAN,UND,970-111-5038,814-555-0133,1039.png,t,3/27/20,3/27/20,,,
1040,Napoleon,Bettleson,nbettleson13@example.com,Bettleson1040@kuromaku-u.org,M,6/19/05,2027,2027,AFR,CHE,MAN,970-111-5039,702-555-0176,1040.png,t,3/27/20,3/27/20,,,
1041,Obed,Ivic,oivic14@example.com,Ivic1041@kuromaku-u.org,M,1/31/08,2030,2030,AFR,COM,UND,970-111-5040,202-555-0125,1041.png,t,3/27/20,3/27/20,,,
1042,Nonie,Isakovic,nisakovic15@example.net,Isakovic1042@kuromaku-u.org,F,2/27/05,2027,2027,ASN,NUC,UND,970-111-5041,212-555-0180,1042.png,t,3/27/20,3/27/20,,,
1043,Gearalt,Robbert,grobbert16@example.com,Robbert1043@kuromaku-u.org,M,9/3/06,2029,2029,AFR,CHE,UND,970-111-5042,626-555-0129,1043.png,t,3/27/20,3/27/20,,,
1044,Selma,Comazzo,scomazzo17@example.com,Comazzo1044@kuromaku-u.org,F,6/17/08,2030,2030,WHT,NUC,UND,970-111-5043,786-555-0177,1044.png,t,3/27/20,3/27/20,,,
1045,Dinny,Bromwich,dbromwich18@example.com,Bromwich1045@kuromaku-u.org,F,1/27/08,2030,2030,WHT,ENG,UND,970-111-5044,972-555-0198,1045.png,t,3/27/20,3/27/20,,,
1046,Rudy,Braam,rbraam19@example.com,Braam1046@kuromaku-u.org,M,6/21/05,2027,2027,AFR,NUC,MEC,970-111-5045,212-555-0186,1046.png,t,3/27/20,3/27/20,,,
1047,Mellie,Warlow,mwarlow1a@example.com,Warlow1047@kuromaku-u.org,F,4/23/06,2028,2028,AFR,MEC,UND,970-111-5046,614-555-0168,1047.png,t,3/27/20,3/27/20,,,
1048,Naoma,Stiffkins,nstiffkins1b@example.com,Stiffkins1048@kuromaku-u.org,F,6/28/05,2027,2027,AFR,CHE,UND,970-111-5047,940-555-0144,1048.png,t,3/27/20,3/27/20,,,
1049,Harwell,Kitcat,hkitcat1c@example.org,Kitcat1049@kuromaku-u.org,M,5/3/08,2030,2030,AFR,MAT,NUC,970-111-5048,803-555-0120,1049.png,t,3/27/20,3/27/20,,,
1050,Boris,Redier,bredier1d@example.com,Redier1050@kuromaku-u.org,M,3/30/08,2030,2030,ASN,AER,MAT,970-111-5049,317-555-0102,1050.png,t,3/27/20,3/27/20,,,
1051,Rinaldo,Wilsone,rwilsone1e@example.com,Wilsone1051@kuromaku-u.org,M,4/19/07,2029,2029,ASN,COM,UND,970-111-5050,202-555-0162,1051.png,t,3/27/20,3/27/20,,,
1052,Dagny,Czajka,dczajka1f@example.com,Czajka1052@kuromaku-u.org,M,4/11/06,2028,2028,HSP,MAT,UND,970-111-5051,424-555-0186,1052.png,t,3/27/20,3/27/20,,,
1053,Alister,Sloan,asloan1g@example.com,Sloan1053@kuromaku-u.org,M,12/28/07,2030,2030,ASN,COM,NUC,970-111-5052,206-555-0194,1053.png,t,3/27/20,3/27/20,,,
1054,Genny,Sannes,gsannes1h@example.org,Sannes1054@kuromaku-u.org,F,9/4/05,2028,2028,AFR,COM,UND,970-111-5053,785-555-0147,1054.png,t,3/27/20,3/27/20,,,
